MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
oraclelinux,Official Docker builds of Oracle Linux.,Base Images,https://hub.docker.com/_/oraclelinux,5M+,scratch,scratch,GNU General Public License,,,,,,,235MB,,,,,2016-06-03T17:26:04.85536Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/96dcddde-c289-4e7e-b4b4-5f897e0eb17c-oraclelinux.png,linux,570,image,2019-04-01T08:06:13.329792Z,7.6,FALSE
gcc,The GNU Compiler Collection is a compiling system that supports several languages.,DevOps Tools,https://hub.docker.com/_/gcc,5M+,buildpack-deps:jessie,buildpack-deps,GNU GENERAL PUBLIC LICENSE Version 3,,,,gcc,,,1.15GB,,,,,2016-06-01T23:28:25.243716Z,official,https://gcc.gnu.org/img/gccegg-65.png,linux,393,image,2019-04-01T08:06:14.638227Z,5.5.0,FALSE
opensuse,DEPRECATED - for current images by the openSUSE Project see opensuse/leap and opensuse/tumbleweed.,Operating Systems,https://hub.docker.com/_/opensuse,5M+,scratch,scratch,GNU General Public License version 2,,,,,,,110MB,,,,,2016-06-15T18:41:50.042197Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/fb4a3d37-a732-4c87-9798-65667a1018f6-opensuse.png,linux,263,image,2019-04-01T08:06:13.932416Z,42.3,FALSE
clojure,Clojure is a dialect of Lisp that runs on the JVM.,Programming Languages,https://hub.docker.com/_/clojure,5M+,openjdk:8,openjdk,Eclipse Public License 1.0,,,,,,,644MB,,,,,2016-06-01T23:27:22.878424Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/7db3bbd6-5bc5-40a8-8104-03818a8d37f5-clojure.png,linux,245,image,2019-04-01T08:06:14.922152Z,openjdk-8-lein,FALSE
ros,The Robot Operating System (ROS) is an open source project for building robot applications.,Operating Systems,https://hub.docker.com/_/ros,5M+,ubuntu:trusty,ubuntu,standard three-clause BSD licens,,,,"rospkg
,
rosdistro
,
colcon-ros",,,1.28GB,,,,,2016-06-01T23:32:22.480935Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a4caf03a-82f9-4f5b-89da-5acf39b60b4d-ros.png,linux,230,image,2019-04-01T08:06:15.572506Z,indigo-ros-core,FALSE
rust,"Rust is a systems programming language focused on safety, speed, and concurrency.",,https://hub.docker.com/_/rust,5M+,buildpack-deps:stretch,buildpack-deps,"Apache License, Version 2.0
MIT license",,,,"rustc
,
rust-std32",,,1.68GB,,,,,2018-09-21T18:02:28.176649Z,official,,linux,174,image,2019-04-01T08:06:12.370507Z,1.33.0-stretch,FALSE
irssi,irssi - The IRC client of the future,Application Services,https://hub.docker.com/_/irssi,5M+,debian:stretch-slim,debian,GNU General Public License v2.0,,,"network-basic,productivity",irssi,,,167MB,,,,,2016-06-01T00:03:49.129315Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/87a3226c-d223-4d76-bbaa-ff35999a5d61-irssi.png,linux,109,image,2019-04-01T08:06:17.339347Z,1.2.0,FALSE
orientdb,OrientDB a Multi-Model Open Source NoSQL DBMS that combines graphs and documents.,Databases,https://hub.docker.com/_/orientdb,5M+,openjdk:8-jdk,openjdk,ÿApache License 2.0,,,,,,,149MB,,,,,2016-06-14T21:49:29.096122Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/415b9a71-2317-40ca-a410-ef0715caccc2-orientdb.png,linux,107,image,2019-04-01T08:06:14.283749Z,2.0.18,FALSE
ibmjava,"Official IBM? SDK, Java? Technology Edition Docker Image.",Base Images,https://hub.docker.com/_/ibmjava,5M+,ubuntu:16.04,ubuntu,ÿApache License 2.0,,,,,,,320MB,,,,,2016-11-14T17:21:37.47309Z,official,,linux,66,image,2019-04-01T08:06:13.069856Z,8-jre,FALSE
matomo,Matomo is the leading open-source analytics platform that gives you more than powerful analytics.,,https://hub.docker.com/_/matomo,5M+,php:7.3-apache,php,GNU General Public License v3,,,,,,,502MB,,,,,2018-09-21T18:02:40.028641Z,official,,linux,64,image,2019-04-01T08:06:13.545267Z,3.9.1-apache,FALSE
ubuntu-debootstrap,"debootstrap --variant=minbase --components=main,universe --include=inetutils-ping,iproute2 <suite> /",,https://hub.docker.com/_/ubuntu-debootstrap,5M+,scratch,scratch,GPL,,,,,,,87.1MB,,,,,2018-09-21T18:02:12.482133Z,official,,[],40,image,2019-04-01T08:06:14.109625Z,12.04.5,FALSE
